;PC1;PC2;PC3;Cluster;Zone
0;0.6769858628875391;-0.37051527863030226;-1.0867065179264268;1;Arménie
1;-3.072681824876364;-0.7968009077423083;-0.14223690937308195;3;Afghanistan
2;1.762412086081677;-1.0680130541381523;-1.341519887937192;2;Albanie
3;-0.3256985858319594;-1.202572645907478;0.14040408729107495;1;Algérie
4;-2.4573239406355194;0.6080894231799969;1.2533998857093989;4;Angola
5;0.4651034716139641;1.9479032098647167;0.24064559839470656;1;Antigua-et-Barbuda
6;1.8176061089680844;0.060699642685200735;0.02682452443420652;2;Argentine
7;2.4151661030400744;0.020366629206821158;0.9958264803926499;2;Australie
8;2.7709680992597883;-1.1406837820236004;0.48186664287613123;2;Autriche
9;0.9705731217263688;1.8006405567134738;0.7215183165687564;1;Bahamas
10;1.0892732750506824;1.3819313130094222;-0.5281649493370406;1;Barbade
11;-1.8614839230466231;-0.8220587306575933;-1.0344881331185571;0;Bangladesh
12;-0.6104239333703443;2.0386332719662494;0.3556027351440106;1;Bolivie (État plurinational de)
13;-1.4794674654154194;-0.8918011592199689;0.15896301898059456;0;Botswana
14;1.294094736439299;0.8741436819085099;-0.09815704145257718;1;Brésil
15;-0.752807178297644;0.8772502042520697;0.4055299699280206;4;Belize
16;-2.485148534765614;-0.40861064635752076;0.23216365647825155;3;Îles Salomon
17;0.9802737727560903;0.717764289345116;-1.3175494350272106;1;Bulgarie
18;0.03197679513261689;0.7099295710149911;-0.7020304142206965;1;Myanmar
19;-2.084373051905642;-0.8828903287130528;0.31544195915969986;3;Cameroun
20;2.328825457833177;0.06183255010752873;0.7775286779346865;2;Canada
21;-0.9551661236773369;0.8852469790132365;-0.26784905598090597;4;Cabo Verde
22;-2.605344639105492;-0.31703355977837117;-0.8997078407804274;0;République centrafricaine
23;-0.9535298499854378;-0.33798153575301;-1.0563209471969528;0;Sri Lanka
24;-3.2102360463874513;-1.296013237427179;0.25325909884141307;3;Tchad
25;0.8277662567887346;0.6700090469330344;0.5052654328375837;1;Chili
26;0.7517830930966314;-0.6529123708065271;-0.8286513023052319;0;Chine, continentale
27;0.15605565501683252;0.8952179520970712;0.34424447647765094;1;Colombie
28;-1.7629348586731723;1.5011537080387811;0.8665079679322949;4;Congo
29;0.5969652711915455;0.09001746594969978;-0.20963738571505694;0;Costa Rica
30;1.1218445123740677;0.10704103282990454;0.23543106255394242;2;Chypre
31;0.22474289943106973;-0.45584241308587664;-0.34665439439384793;1;Azerbaïdjan
32;-1.9797405848963388;0.7505737386428867;0.927760704298147;4;Bénin
33;3.0792573280090934;-0.6934801959847487;0.23810933268238366;2;Danemark
34;0.6989132496552558;1.556424722215707;-0.561288563445701;1;Dominique
35;0.054655669357667844;1.6557897678966964;0.24908942517330446;1;République dominicaine
36;1.4359956671645975;0.21307909383704304;-0.8577932157420519;2;Bélarus
37;-0.873724339978746;0.5345841475714104;0.19361238859523786;4;Équateur
38;-0.07882183272425448;-0.06054649074610488;0.5848260658290968;1;Égypte
39;-0.4113038699282371;1.0822203536852835;-0.6045203983429516;1;El Salvador
40;2.048558477606233;-0.6361301186297497;-0.4568363677908477;2;Estonie
41;-0.2676142434593883;1.1449778026606023;-0.32933976860921854;1;Fidji
42;2.7653949211889;-0.9502045200659944;-0.17834561434759297;2;Finlande
43;2.550323468089639;-0.6811200735922907;-0.14610023987952914;2;France
44;-1.716211856375602;-0.7030806046490257;-0.5042797482778442;0;Djibouti
45;0.1388693825440977;0.4030601756760712;-1.1999094805576664;1;Géorgie
46;-0.6785708866706446;0.8101584848124636;1.1461711575456;4;Gabon
47;-2.3198677008969693;-0.8409198581710012;0.460568162977541;3;Gambie
48;2.596116362421873;-0.985409035135029;0.2271950285145749;2;Allemagne
49;1.274796449619464;0.1560985886530394;-1.5881670055919441;1;Bosnie-Herzégovine
50;-1.471252465111762;-0.0032120196202820583;0.30479292928093543;4;Ghana
51;-0.2797088710223658;0.061145697457567004;-0.32203212759968786;0;Kiribati
52;2.2219854544488364;-0.401273377182302;-1.0375199181324306;2;Grèce
53;0.027614215225690505;2.0242545533601852;-0.1941676161525906;1;Grenade
54;-1.3810967836189605;0.7207075237783266;0.36599348333148257;4;Guatemala
55;-2.420129402157866;-0.9627801182580344;0.34730436490675326;3;Guinée
56;0.3110063513789432;1.6119501185362797;-0.33002421960722933;1;Guyana
57;-2.46222215187183;1.158510422629134;-0.39911885031685207;4;Haïti
58;-1.1616834166978485;1.5658334179242313;0.33956764975490994;4;Honduras
59;3.2891399266015604;-0.6520900342650165;0.8547923153668767;2;Chine - RAS de Hong-Kong
60;1.7860603123914356;0.21284854647937634;-0.738220195659021;2;Hongrie
61;1.631095690961378;-0.45223685264609037;-1.4506639295480568;2;Croatie
62;3.976337159529236;-1.3399970235136907;0.5152781317672787;2;Islande
63;-1.6892848157967548;-0.727924038748735;-0.9578710974031615;0;Inde
64;-0.84449522936028;-0.30234882140738145;-0.5164677698305846;0;Indonésie
65;-1.7720431242846948;0.4275074769905389;0.6418847546007159;4;Iraq
66;3.607921972267934;-1.2567522278033318;1.7374244716535379;2;Irlande
67;2.6197804544836747;0.8331969351136878;1.500491730547365;1;Israël
68;2.3726700864413184;-0.630078245711709;-0.4599461224215014;2;Italie
69;-2.114203586302117;-1.113384630556589;0.12741914231158044;3;Côte d'Ivoire
70;0.9063353831137433;-0.5913655919778631;0.030908975030088236;0;Kazakhstan
71;0.25382799472435247;2.4591729340478916;-0.1346015834761728;1;Jamaïque
72;1.2203558826870675;-0.0022133734930617687;-0.6946042243625199;1;Japon
