Series Name,Series Code,Country Name,Country Code,2008 [YR2008]
"Population, total",SP.POP.TOTL,Kiribati,KIR,98761
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,24310142
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,49054708
"Population, total",SP.POP.TOTL,Kosovo,XKX,1747383
"Population, total",SP.POP.TOTL,Kuwait,KWT,2656009
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5318700
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6046620
"Population, total",SP.POP.TOTL,Latvia,LVA,2177322
"Population, total",SP.POP.TOTL,Lebanon,LBN,4764741
"Population, total",SP.POP.TOTL,Lesotho,LSO,1987129
"Population, total",SP.POP.TOTL,Liberia,LBR,3607860
"Population, total",SP.POP.TOTL,Libya,LBY,6058748
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,35471
"Population, total",SP.POP.TOTL,Lithuania,LTU,3198231
"Population, total",SP.POP.TOTL,Luxembourg,LUX,488650
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,515239
"Population, total",SP.POP.TOTL,Madagascar,MDG,19996473
"Population, total",SP.POP.TOTL,Malawi,MWI,13727890
"Population, total",SP.POP.TOTL,Malaysia,MYS,27236006
"Population, total",SP.POP.TOTL,Maldives,MDV,343452
"Population, total",SP.POP.TOTL,Mali,MLI,14113577
"Population, total",SP.POP.TOTL,Malta,MLT,409379
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,56174
"Population, total",SP.POP.TOTL,Mauritania,MRT,3296238
"Population, total",SP.POP.TOTL,Mauritius,MUS,1244121
"Population, total",SP.POP.TOTL,Mexico,MEX,110815271
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,103543
"Population, total",SP.POP.TOTL,Moldova,MDA,2867964
"Population, total",SP.POP.TOTL,Monaco,MCO,34872
"Population, total",SP.POP.TOTL,Mongolia,MNG,2631898
"Population, total",SP.POP.TOTL,Montenegro,MNE,616969
"Population, total",SP.POP.TOTL,Morocco,MAR,31536811
"Population, total",SP.POP.TOTL,Mozambique,MOZ,22276596
"Population, total",SP.POP.TOTL,Myanmar,MMR,49929642
"Population, total",SP.POP.TOTL,Namibia,NAM,2043394
"Population, total",SP.POP.TOTL,Nauru,NRU,9891
"Population, total",SP.POP.TOTL,Nepal,NPL,26666576
"Population, total",SP.POP.TOTL,Netherlands,NLD,16445593
"Population, total",SP.POP.TOTL,New Caledonia,NCL,242750
"Population, total",SP.POP.TOTL,New Zealand,NZL,4259800
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5667432
"Population, total",SP.POP.TOTL,Niger,NER,15250908
"Population, total",SP.POP.TOTL,Nigeria,NGA,150269623
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2067313
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,54625
"Population, total",SP.POP.TOTL,Norway,NOR,4768212
"Population, total",SP.POP.TOTL,Oman,OMN,2750963
"Population, total",SP.POP.TOTL,Pakistan,PAK,171648986
"Population, total",SP.POP.TOTL,Palau,PLW,18704
"Population, total",SP.POP.TOTL,Panama,PAN,3516204
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,6976201
"Population, total",SP.POP.TOTL,Paraguay,PRY,6081296
"Population, total",SP.POP.TOTL,Peru,PER,28562317
"Population, total",SP.POP.TOTL,Philippines,PHL,90901965
"Population, total",SP.POP.TOTL,Poland,POL,38125759
"Population, total",SP.POP.TOTL,Portugal,PRT,10558177
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3760866
"Population, total",SP.POP.TOTL,Qatar,QAT,1436665
"Population, total",SP.POP.TOTL,Romania,ROU,20537875
"Population, total",SP.POP.TOTL,Russian Federation,RUS,142742366
"Population, total",SP.POP.TOTL,Rwanda,RWA,9524534
"Population, total",SP.POP.TOTL,Samoa,WSM,183263
